movie_title,year_released,critic_rating,audience_rating,genres
The Ape,1940,43,12,"Classics, Drama, Horror, Science Fiction & Fantasy"
Fame,2009,24,36,"Drama, Musical & Performing Arts, Romance"
Outrage,2009,77,76,Documentary
Skin,2009,84,79,"Art House & International, Drama, Mystery & Suspense"
Helen,2008,67,36,Drama
Bakjwi (Thirst),2009,81,75,"Art House & International, Drama, Horror"
Vengeance (Fuk sau),2010,91,60,"Action & Adventure, Art House & International, Mystery & Suspense"
New World Order,2009,56,48,"Documentary, Special Interest"
April Fool's Day,1986,50,47,Horror
Blood: The Last Vampire,2009,25,33,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy"
Shrink,2009,27,50,"Comedy, Drama"
Ong Bak 2,2009,48,53,"Action & Adventure, Art House & International"
Bananas!,2009,86,44,"Art House & International, Documentary, Special Interest"
Last Ride,2012,93,65,Drama
Tron Legacy,2010,51,63,"Action & Adventure, Science Fiction & Fantasy"
The Canyon,2009,27,32,"Drama, Mystery & Suspense"
"Manson, My Name Is Evil",2009,67,27,"Comedy, Drama, Science Fiction & Fantasy"
Broken Hill,2009,50,61,"Drama, Kids & Family"
A Beautiful Life,2009,0,24,Drama
Suck,2010,50,53,"Comedy, Horror, Musical & Performing Arts"
Chloe,2010,51,39,"Drama, Mystery & Suspense"
Armed and Dangerous,1986,10,39,Comedy
The Hole,2012,81,46,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy"
NoBody's Perfect,2008,73,87,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness"
The Good Soldier,2009,75,80,"Documentary, Drama, Special Interest, Television"
High Life,2009,80,43,Comedy
Around the World in 80 Days,1956,69,57,"Action & Adventure, Comedy, Drama, Kids & Family"
The Good Heart,2010,30,58,Drama
Wonderful World,2010,42,33,"Drama, Romance"
Collapse,2009,83,83,"Documentary, Special Interest"
The Last Song,2010,21,66,"Drama, Kids & Family, Romance"
Babies,2010,68,62,"Documentary, Special Interest"
Lottery Ticket,2010,34,44,Comedy
Going the Distance,2010,54,52,"Comedy, Romance"
Life as We Know It,2010,29,61,"Comedy, Drama"
The Final,2010,13,32,"Drama, Horror, Mystery & Suspense"
Frozen,2010,63,46,"Drama, Horror, Mystery & Suspense"
Prodigal Sons,2010,87,79,"Documentary, Special Interest"
The Ghost Writer,2010,84,70,"Drama, Mystery & Suspense"
Repo Men,2010,22,41,"Action & Adventure, Science Fiction & Fantasy"
7 Days (Les 7 jours du talion),2010,80,68,"Art House & International, Horror, Mystery & Suspense"
Daddy Longlegs,2010,78,52,"Comedy, Drama"
Veer,2010,40,47,"Art House & International, Classics, Drama"
Winter's Bone,2010,94,76,Drama
The Kids Are All Right,2010,92,74,"Comedy, Drama"
Lucky,2010,60,39,"Documentary, Special Interest"
High School,2012,28,48,Comedy
Stolen,2010,0,39,"Drama, Mystery & Suspense"
The Killing Jar,2010,0,36,"Drama, Mystery & Suspense"
La MISSION,2010,50,72,Drama
Predators,2010,64,52,"Action & Adventure, Horror, Science Fiction & Fantasy"
Stonewall Uprising,2010,84,76,"Documentary, Special Interest"
The Oath,2010,91,79,"Documentary, Special Interest"
The Wild Hunt,2010,82,74,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Arthur,1981,88,77,"Comedy, Romance"
The Lottery,2010,64,76,"Documentary, Special Interest"
Assault on Precinct 13,1976,98,80,"Action & Adventure, Drama, Mystery & Suspense"
Asylum,1972,67,48,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance"
Attack of the 50 Foot Woman,1958,75,20,"Classics, Science Fiction & Fantasy"
The Aviator,1985,20,41,"Action & Adventure, Drama"
The Awakening,1980,0,22,"Horror, Mystery & Suspense"
Babes in Toyland,1961,36,59,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Bad Company,1972,92,71,"Action & Adventure, Drama, Western"
The Bad News Bears,1976,97,80,"Classics, Comedy"
The Bad Seed,1956,63,83,"Classics, Drama, Horror, Mystery & Suspense"
Bang The Drum Slowly,1973,92,62,"Classics, Comedy, Drama, Sports & Fitness"
Battleground,1949,75,82,"Action & Adventure, Classics, Drama"
Beauty and The Beast (La Belle et la bête),1946,95,90,"Drama, Science Fiction & Fantasy, Romance"
1001 Grams,2015,82,48,Drama
The Best of Times,1986,31,43,"Comedy, Drama"
Betrayed,1988,42,52,"Action & Adventure, Drama, Mystery & Suspense"
The Big Brawl (Battle Creek Brawl),1980,67,44,"Action & Adventure, Comedy"
Big Business,1988,44,69,Comedy
The Big Sleep,1946,97,91,"Classics, Drama, Mystery & Suspense"
Billy Budd,1962,90,86,"Action & Adventure, Classics, Drama"
The Birds,1963,95,83,"Classics, Horror, Mystery & Suspense"
Black Christmas,1974,71,75,"Horror, Mystery & Suspense"
The Black Hole,1979,38,45,"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The Black Pirate,1926,100,68,"Action & Adventure, Classics"
Black Sunday,1977,69,64,"Action & Adventure, Drama, Horror, Mystery & Suspense"
Black Widow,1987,50,40,"Drama, Mystery & Suspense"
Blackmail,1929,86,65,"Classics, Drama, Mystery & Suspense"
Blind Date,1987,21,42,"Comedy, Drama"
Blood and Sand,1941,100,67,"Classics, Drama, Romance"
Blood Feast,1963,38,44,"Classics, Horror"
Der Blaue Engel (The Blue Angel),1930,96,87,"Art House & International, Classics, Drama, Musical & Performing Arts"
Bluebeard,1944,100,38,"Classics, Drama, Horror, Mystery & Suspense"
The Border,1982,80,53,"Action & Adventure, Drama, Mystery & Suspense"
Born Yesterday,1950,97,86,"Classics, Comedy, Drama"
The Boston Strangler,1968,86,78,"Classics, Drama, Mystery & Suspense"
The Bounty,1984,74,72,"Action & Adventure, Drama"
The Boys from Brazil,1978,69,66,"Action & Adventure, Drama, Mystery & Suspense"
Brainstorm,1983,55,56,"Mystery & Suspense, Science Fiction & Fantasy"
Brewster's Millions,1985,35,55,Comedy
Brian's Song,1970,92,82,"Classics, Drama, Television"
Brief Encounter,1945,91,91,"Classics, Drama, Romance"
Broken Arrow,1950,89,70,"Action & Adventure, Classics, Drama, Western, Romance"
Broken Blossoms,1919,95,71,"Classics, Drama, Romance"
The Brotherhood,1968,67,25,"Action & Adventure, Classics, Drama"
Bug,1975,33,25,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Burglar,1987,27,39,"Comedy, Drama"
Bus Stop,1956,79,62,"Comedy, Drama, Romance"
Butch Cassidy and the Sundance Kid,1969,90,92,"Action & Adventure, Classics, Western"
Bye Bye Birdie,1963,89,66,"Classics, Comedy, Kids & Family, Musical & Performing Arts"
Calamity Jane,1953,71,87,"Classics, Comedy, Musical & Performing Arts, Western, Romance"
Camelot,1967,41,69,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Camille,1936,93,83,"Classics, Drama, Romance"
Cape Fear,1962,100,86,"Classics, Drama, Mystery & Suspense"
Captain Blood,1935,100,89,"Action & Adventure, Classics"
Captains Courageous,1937,94,89,"Action & Adventure, Classics"
Carnival of Souls,1962,86,73,"Classics, Comedy, Horror, Mystery & Suspense"
Carny,1980,50,52,"Drama, Horror"
Carrie,1976,93,77,Horror
Casablanca,1942,99,95,"Classics, Drama, Romance"
Casino Royale,1967,25,34,"Action & Adventure, Classics, Comedy"
The Cat and the Canary,1927,94,74,"Classics, Horror, Mystery & Suspense"
Cat on a Hot Tin Roof,1958,97,92,"Classics, Drama"
Cat People,1942,95,73,"Drama, Horror, Romance"
Cat People,1982,61,46,"Drama, Horror, Mystery & Suspense"
Caught,1949,100,78,"Classics, Drama, Mystery & Suspense"
The Champ,1979,36,82,"Drama, Sports & Fitness"
Champion,1949,93,74,"Classics, Drama"
Charade,1963,94,92,"Classics, Comedy, Drama, Mystery & Suspense"
Charlotte's Web,1973,77,67,"Animation, Kids & Family"
The Chase,1966,89,74,"Classics, Drama"
Checking Out,1989,20,18,Comedy
Children of the Corn,1984,35,40,"Cult Movies, Horror, Mystery & Suspense"
The Chosen,1981,75,79,Drama
A Christmas Carol,1938,100,74,"Classics, Drama, Kids & Family, Science Fiction & Fantasy"
Christmas in Connecticut,1945,88,75,"Classics, Comedy"
A Christmas Story,1983,89,88,"Comedy, Drama, Kids & Family"
Cimarron,1931,50,25,"Classics, Drama, Western"
Cleopatra,1963,62,69,"Classics, Drama"
College,1927,89,73,"Classics, Comedy, Romance"
Colors,1988,82,72,"Action & Adventure, Drama"
Coma,1978,81,66,"Action & Adventure, Mystery & Suspense"
Commando,1985,71,67,Action & Adventure
Convoy,1978,43,73,"Action & Adventure, Drama"
Countdown,1968,67,27,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Country Girl,1954,86,77,"Classics, Drama"
Cover Girl,1944,95,70,"Classics, Comedy, Musical & Performing Arts, Romance"
Creature from the Black Lagoon,1954,79,73,"Classics, Cult Movies, Horror, Science Fiction & Fantasy"
Crossroads,1986,73,82,Drama
Cutting Class,1989,25,22,"Comedy, Drama, Horror"
Damn Yankees,1958,76,69,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy"
Dangerous,1935,83,61,"Classics, Drama"
Dangerous Liaisons,1988,93,83,Drama
The Dark Mirror,1946,71,56,"Drama, Mystery & Suspense"
Darling,1965,67,71,"Art House & International, Classics, Comedy, Drama, Romance"
Day of the Dead,1985,81,75,Horror
The Day the Earth Stood Still,1951,95,87,"Classics, Drama, Science Fiction & Fantasy"
Days of Wine and Roses,1962,100,88,"Classics, Drama"
Dead Heat,1988,11,49,"Action & Adventure, Comedy, Horror, Mystery & Suspense"
Dead Reckoning,1947,67,66,"Classics, Drama, Mystery & Suspense"
Death in Venice,1971,71,81,Drama
Death of a Salesman,1985,100,75,"Drama, Television"
Dèmoni (Demons),1985,60,65,"Art House & International, Horror"
The Desperate Hours,1955,86,79,"Classics, Drama, Mystery & Suspense"
Devil Doll,1964,20,28,"Classics, Horror"
Dillinger,1973,92,73,"Action & Adventure, Drama, Mystery & Suspense"
Dinner at Eight,1933,90,74,"Classics, Comedy, Drama, Romance"
Distant Thunder,1988,43,45,Drama
Doctor Zhivago,1965,84,88,"Classics, Drama, Television, Romance"
Dodge City,1939,100,74,"Classics, Western"
Dolls,1987,60,51,Horror
Dr. Jekyll and Mr. Hyde,1931,90,80,"Drama, Horror"
How the Grinch Stole Christmas,1967,100,98,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television"
Dracula,1931,92,81,"Classics, Horror"
Dracula,1973,60,43,"Horror, Mystery & Suspense"
Dracula,1979,59,58,"Art House & International, Drama, Horror, Romance"
The Dream Team,1989,57,61,Comedy
Dressed to Kill,1980,80,74,"Drama, Horror, Mystery & Suspense"
Duel,1972,88,84,"Mystery & Suspense, Television"
Dune,1984,53,66,Science Fiction & Fantasy
East of Eden,1955,85,90,"Classics, Drama"
Easy Money,1983,60,58,"Action & Adventure, Comedy"
Eaten Alive,1977,35,30,"Horror, Mystery & Suspense"
Edipo re (Oedipus Rex),1967,88,77,"Art House & International, Drama"
The Elephant Man,1980,92,93,Drama
The Enforcer,1976,68,59,"Action & Adventure, Drama, Mystery & Suspense"
The Enforcer,1951,88,70,"Classics, Drama, Mystery & Suspense"
Escape from New York,1981,86,77,"Action & Adventure, Science Fiction & Fantasy"
Exodus,1960,63,69,"Classics, Drama"
Eyewitness,1981,75,38,"Horror, Mystery & Suspense"
Fahrenheit 451,1966,81,72,"Classics, Science Fiction & Fantasy"
The Fan,1981,38,32,"Drama, Mystery & Suspense"
Fandango,1985,50,78,"Comedy, Drama"
Far From the Madding Crowd,1967,64,76,"Drama, Romance"
"Farewell, My Lovely",1975,76,73,"Classics, Drama, Mystery & Suspense"
Fatal Attraction,1987,76,72,"Drama, Mystery & Suspense"
Father of the Bride,1950,90,74,"Classics, Comedy, Drama"
Fire and Ice,1983,60,53,"Action & Adventure, Animation, Cult Movies, Science Fiction & Fantasy"
Flash Gordon,1980,83,69,"Action & Adventure, Comedy, Science Fiction & Fantasy"
Flashback,1990,43,60,Comedy
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),1985,85,63,"Action & Adventure, Drama"
The Flight of the Phoenix,1965,90,81,"Action & Adventure, Classics, Drama"
Flipper,1963,40,49,"Action & Adventure, Classics, Drama, Kids & Family, Television"
The Fly,1958,95,70,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Fly,1986,92,83,"Drama, Horror, Science Fiction & Fantasy"
Flying Tigers,1942,67,68,"Action & Adventure, Classics, Drama"
Footloose,1984,52,71,"Drama, Musical & Performing Arts, Romance"
The Four Feathers,1939,100,85,"Action & Adventure, Art House & International, Classics"
Frantic,1988,76,64,"Action & Adventure, Drama, Mystery & Suspense"
Freaky Friday,1976,70,57,"Comedy, Kids & Family, Science Fiction & Fantasy"
Fright Night,1985,92,76,Horror
From Here to Eternity,1953,92,84,"Classics, Drama, Romance"
Frosty the Snowman,1969,73,72,"Animation, Kids & Family"
The Fugitive,1947,86,61,Drama
Funny Farm,1988,65,50,Comedy
The Fury,1978,75,49,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),1981,31,29,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Gallipoli,1981,91,83,"Art House & International, Drama"
The Gambler,1974,78,77,"Classics, Drama"
Game of Death,1978,50,64,"Action & Adventure, Art House & International"
The General,1927,93,92,"Comedy, Drama, Romance"
The Getaway,1972,86,81,"Action & Adventure, Classics, Drama"
Girls! Girls! Girls!,1962,33,50,"Classics, Comedy, Musical & Performing Arts, Special Interest, Romance"
Gloria,1980,93,80,"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Glory,1989,93,93,Drama
Go West,1940,89,59,"Classics, Comedy, Musical & Performing Arts, Western"
